# t_days flux
1.325741656454551730e+03 1.360234062500000000e+05
1.325743045362960629e+03 1.360480781250000000e+05
1.325744434271369073e+03 1.359866875000000000e+05
1.325745823179312310e+03 1.359386718750000000e+05
1.325747212087721209e+03 1.359589531250000000e+05
1.325748600996129653e+03 1.359352343750000000e+05
1.325749989904072891e+03 1.360373593750000000e+05
1.325751378812481335e+03 1.360038437500000000e+05
1.325752767720890915e+03 1.360882500000000000e+05
1.325754156628833925e+03 1.359975000000000000e+05
1.325755545537241915e+03 1.360766718750000000e+05
1.325756934445651268e+03 1.360038593750000000e+05
1.325758323353595188e+03 1.359747187500000000e+05
1.325759712262003404e+03 1.359772656250000000e+05
1.325761101169946187e+03 1.360210781250000000e+05
1.325762490078355540e+03 1.359486250000000000e+05
1.325763878986298778e+03 1.360180937500000000e+05
1.325765267894707449e+03 1.360387031250000000e+05
1.325766656802650459e+03 1.359751718750000000e+05
1.325768045711059358e+03 1.360230468750000000e+05
1.325769434619002141e+03 1.359497187500000000e+05
1.325770823527411039e+03 1.360251093750000000e+05
1.325772212435354277e+03 1.360354218750000000e+05
1.325773601343762721e+03 1.359575625000000000e+05
1.325774990251706413e+03 1.359624843750000000e+05
1.325776379160115766e+03 1.360701093750000000e+05
1.325777768068058322e+03 1.359881718750000000e+05
1.325779156976466993e+03 1.360365000000000000e+05
1.325780545884410685e+03 1.360012031250000000e+05
1.325781934792818674e+03 1.359530468750000000e+05
1.325783323700761912e+03 1.360927812500000000e+05
1.325784712608705604e+03 1.359932812500000000e+05
1.325786101517113593e+03 1.359945000000000000e+05
1.325787490425056831e+03 1.359865156250000000e+05
1.325788879333000523e+03 1.360327656250000000e+05
1.325790268241409876e+03 1.359411250000000000e+05
1.325791657149353114e+03 1.360082031250000000e+05
1.325793046057295442e+03 1.360227500000000000e+05
1.325794434965704795e+03 1.360548281250000000e+05
1.325795823873647578e+03 1.360062656250000000e+05
1.325797212781590133e+03 1.360619062500000000e+05
1.325798601689999714e+03 1.360577812500000000e+05
1.325799990597942497e+03 1.359709218750000000e+05
1.325801379505885734e+03 1.359624531250000000e+05
1.325802768414295087e+03 1.360542968750000000e+05
1.325804157322237415e+03 1.359959062500000000e+05
1.325805546230180653e+03 1.360085781250000000e+05
1.325806935138124345e+03 1.359956093750000000e+05
1.325808324046067128e+03 1.360039687500000000e+05
1.325809712954476026e+03 1.360320468750000000e+05
1.325811101862419264e+03 1.360655937500000000e+05
1.325812490770362956e+03 1.360260625000000000e+05
1.325813879678305739e+03 1.359897031250000000e+05
1.325815268586248294e+03 1.360990937500000000e+05
1.325816657494657875e+03 1.359653437500000000e+05
1.325818046402600658e+03 1.360480781250000000e+05
1.325819435310542985e+03 1.359944062500000000e+05
1.325820824218486678e+03 1.360247187500000000e+05
1.325822213126429915e+03 1.359515625000000000e+05
1.325823602034373152e+03 1.360352812500000000e+05
1.325824990942316845e+03 1.361153593750000000e+05
1.325826379850725289e+03 1.360528437500000000e+05
1.325827768758668526e+03 1.360167968750000000e+05
1.325829157666611763e+03 1.359497968750000000e+05
1.325830546574554546e+03 1.359614843750000000e+05
1.325831935482497784e+03 1.360004375000000000e+05
1.325833324390440566e+03 1.360424218750000000e+05
1.325834713298384486e+03 1.360187812500000000e+05
1.325836102206327496e+03 1.360388750000000000e+05
1.325837491114269824e+03 1.359763125000000000e+05
1.325838880022213516e+03 1.359608437500000000e+05
1.325840268930156753e+03 1.361172812500000000e+05
1.325841657838099081e+03 1.360473125000000000e+05
1.325843046746042774e+03 1.360509531250000000e+05
1.325844435653986466e+03 1.359640312500000000e+05
1.325845824561929703e+03 1.360064218750000000e+05
1.325847213469872713e+03 1.359833437500000000e+05
1.325848602377815723e+03 1.360494062500000000e+05
1.325849991285758961e+03 1.359678437500000000e+05
1.325851380193701743e+03 1.359718125000000000e+05
1.325852769101644981e+03 1.359549531250000000e+05
1.325854158009587991e+03 1.360060781250000000e+05
1.325855546917531001e+03 1.359736250000000000e+05
1.325856935825008577e+03 1.360084218750000000e+05
1.325858324732951360e+03 1.359526562500000000e+05
1.325859713640894597e+03 1.359566562500000000e+05
1.325861102548838289e+03 1.359449531250000000e+05
1.325862491456781981e+03 1.359667968750000000e+05
1.325863880364724309e+03 1.358796406250000000e+05
1.325865269272667547e+03 1.359505000000000000e+05
1.325866658180611239e+03 1.359616250000000000e+05
1.325868047088087906e+03 1.359786875000000000e+05
1.325869435996031143e+03 1.359663750000000000e+05
1.325870824903974835e+03 1.360024062500000000e+05
1.325872213811917845e+03 1.359001875000000000e+05
1.325873602719860855e+03 1.359318593750000000e+05
1.325874991627338431e+03 1.359407968750000000e+05
1.325876380535282124e+03 1.359330312500000000e+05
1.325877769443224906e+03 1.359206875000000000e+05
1.325879158351167462e+03 1.359522968750000000e+05
1.325880547258645720e+03 1.359187031250000000e+05
1.325881936166588503e+03 1.359186093750000000e+05
1.325883325074531740e+03 1.359156718750000000e+05
1.325884713982475432e+03 1.359200156250000000e+05
1.325886102889952099e+03 1.360078125000000000e+05
1.325887491797895336e+03 1.360494687500000000e+05
1.325888880705839028e+03 1.359941718750000000e+05
1.325890269613315695e+03 1.359835000000000000e+05
1.325891658521258705e+03 1.358794375000000000e+05
1.325893047429202625e+03 1.359187031250000000e+05
1.325894436336680656e+03 1.359097187500000000e+05
1.325895825244623438e+03 1.359965937500000000e+05
1.325897214152565766e+03 1.360116718750000000e+05
1.325898603060044024e+03 1.360084218750000000e+05
1.325899991967987035e+03 1.359592968750000000e+05
1.325901380875929362e+03 1.359220156250000000e+05
1.325902769783407393e+03 1.359578437500000000e+05
1.325904158691350631e+03 1.359394687500000000e+05
1.325905547598828207e+03 1.358382656250000000e+05
1.325906936506771899e+03 1.358845781250000000e+05
1.325908325414714227e+03 1.358386875000000000e+05
1.325909714322191348e+03 1.358053906250000000e+05
1.325911103230135268e+03 1.359167343750000000e+05
1.325912492137612617e+03 1.358780468750000000e+05
1.325913881045555854e+03 1.359388125000000000e+05
1.325915269953032976e+03 1.360126093750000000e+05
1.325916658860976213e+03 1.358788593750000000e+05
1.325918047768453789e+03 1.359868125000000000e+05
1.325919436676396572e+03 1.359102968750000000e+05
1.325920825583874603e+03 1.358749218750000000e+05
1.325922214491817840e+03 1.358759375000000000e+05
